language	r	p	range
Afrikaans	-1.0	0.08333333333333333	4.0
Akkadian	-0.8	0.3333333333333333	4.0
Amharic	-1.0	0.3333333333333333	3.0
Ancient_Greek	-0.7454545454545454	0.01841384131432766	10.0
Arabic	-0.9642857142857141	0.002777777777777778	7.0
Armenian	-0.9642857142857141	0.002777777777777778	7.0
Bambara	-0.8999999999999998	0.08333333333333333	5.0
Basque	-0.9999999999999998	0.0003968253968253968	7.0
Belarusian	-0.9642857142857141	0.002777777777777778	7.0
Breton	-0.5	1.0	3.0
Bulgarian	-1.0	0.002777777777777778	6.0
Buryat	-1.0	0.08333333333333333	4.0
Cantonese	-0.8999999999999998	0.08333333333333333	5.0
Catalan	-1.0	5.5114638447971785e-06	9.0
Chinese	-0.9636363636363636	0.0	11.0
Classical_Chinese	-0.9999999999999998	0.016666666666666666	5.0
Coptic	-0.9999999999999998	0.0003968253968253968	7.0
Croatian	-1.0	4.96031746031746e-05	8.0
Czech	-0.9878787878787877	0.0	10.0
Danish	-1.0	0.002777777777777778	6.0
Dutch	-1.0	0.002777777777777778	6.0
English	-0.9833333333333333	4.96031746031746e-05	9.0
Erzya	-0.9999999999999998	0.016666666666666666	5.0
Estonian	-0.9333333333333333	0.0007495590828924162	9.0
Faroese	-0.7857142857142855	0.04801587301587302	7.0
Finnish	-0.42857142857142866	0.2992063492063492	8.0
French	-0.9833333333333333	4.96031746031746e-05	9.0
Galician	-1.0	0.002777777777777778	6.0
German	-0.9999999999999998	0.0003968253968253968	7.0
Gothic	-0.9428571428571428	0.016666666666666666	6.0
Greek	-0.9428571428571428	0.016666666666666666	6.0
Hebrew	-0.8928571428571427	0.012301587301587301	7.0
Hindi	-0.9999999999999998	0.016666666666666666	5.0
Hungarian	-0.9999999999999998	0.016666666666666666	5.0
Icelandic	-0.06428571428571428	0.8224213142845048	15.0
Indonesian	-0.8928571428571427	0.012301587301587301	7.0
Irish	-0.9428571428571428	0.016666666666666666	6.0
Italian	-1.0	5.5114638447971785e-06	9.0
Japanese	-0.9833333333333333	4.96031746031746e-05	9.0
Kazakh	-1.0	0.3333333333333333	3.0
Kiche	-0.9999999999999998	1.0	2.0
Komi_Zyrian	-1.0	0.08333333333333333	4.0
Korean	-0.9878787878787877	0.0	10.0
Kurmanji	-1.0	0.3333333333333333	3.0
Latin	0.11785714285714284	0.6763052017626904	15.0
Latvian	-1.0	4.96031746031746e-05	8.0
Lithuanian	-0.9999999999999998	0.0003968253968253968	7.0
Maltese	-1.0	4.96031746031746e-05	8.0
Manx	0.5	1.0	3.0
North_Sami	-0.8	0.3333333333333333	4.0
Norwegian	-0.9285714285714287	0.002232142857142857	8.0
Old_Church_Slavonic	-0.8214285714285713	0.034126984126984124	7.0
Old_East_Slavic	-0.17857142857142855	0.7130952380952381	7.0
Old_French	-0.28571428571428564	0.555952380952381	7.0
Persian	-0.8833333333333333	0.0030753968253968253	9.0
Polish	-1.0	5.5114638447971785e-06	9.0
Portuguese	-0.9333333333333333	0.0007495590828924162	9.0
Romanian	-0.8636363636363636	0.0012745170138764262	11.0
Russian	-0.8727272727272727	0.0009489770596170623	11.0
Sanskrit	-0.6999999999999998	0.23333333333333334	5.0
Scottish_Gaelic	-0.028571428571428574	1.0	6.0
Serbian	-0.9999999999999998	0.0003968253968253968	7.0
Slovak	-0.8999999999999998	0.08333333333333333	5.0
Slovenian	-0.9999999999999998	0.0003968253968253968	7.0
Spanish	-0.990909090909091	0.0	11.0
Swedish	-0.9285714285714287	0.002232142857142857	8.0
Tamil	-1.0	0.08333333333333333	4.0
Thai	-0.9999999999999998	0.0003968253968253968	7.0
Turkish_German	-1.0	0.002777777777777778	6.0
Turkish	-0.4523809523809525	0.26746031746031745	8.0
Ukrainian	-0.9999999999999998	0.0003968253968253968	7.0
Upper_Sorbian	-1.0	0.3333333333333333	3.0
Urdu	-0.9999999999999998	0.016666666666666666	5.0
Uyghur	-0.9999999999999998	0.016666666666666666	5.0
Vietnamese	-0.9999999999999998	0.016666666666666666	5.0
Welsh	-0.9999999999999998	0.016666666666666666	5.0
Western_Armenian	-0.8571428571428569	0.023809523809523808	7.0
Wolof	-1.0	4.96031746031746e-05	8.0
