language	r	p	range
Afrikaans	-0.9642857142857141	0.002777777777777778	7.0
Akkadian	-0.29999999999999993	0.6833333333333333	5.0
Amharic	-1.0	0.002777777777777778	6.0
Ancient_Greek	-0.903030303030303	0.0008802249947541347	10.0
Arabic	-0.9999999999999998	0.0003968253968253968	7.0
Armenian	-0.7857142857142855	0.04801587301587302	7.0
Bambara	0.0	1.0	5.0
Basque	-0.9999999999999998	0.0003968253968253968	7.0
Belarusian	-0.9642857142857141	0.002777777777777778	7.0
Breton	-0.6999999999999998	0.23333333333333334	5.0
Bulgarian	-0.9642857142857141	0.002777777777777778	7.0
Buryat	-0.9999999999999998	0.016666666666666666	5.0
Cantonese	-0.607142857142857	0.16666666666666666	7.0
Catalan	-0.9833333333333333	4.96031746031746e-05	9.0
Chinese	-0.2833333333333333	0.46299052028218696	9.0
Classical_Chinese	-1.0	0.002777777777777778	6.0
Coptic	-0.8333333333333335	0.015376984126984126	8.0
Croatian	-1.0	4.96031746031746e-05	8.0
Czech	-0.8833333333333333	0.0030753968253968253	9.0
Danish	-0.9761904761904763	0.0003968253968253968	8.0
Dutch	-0.642857142857143	0.09618055555555556	8.0
English	-0.9333333333333333	0.0007495590828924162	9.0
Erzya	0.6999999999999998	0.23333333333333334	5.0
Estonian	-0.85	0.00607363315696649	9.0
Faroese	0.17857142857142855	0.7130952380952381	7.0
Finnish	-0.9761904761904763	0.0003968253968253968	8.0
French	-1.0	5.5114638447971785e-06	9.0
Galician	-1.0	4.96031746031746e-05	8.0
German	-0.7454545454545454	0.01841384131432766	10.0
Gothic	-0.6190476190476192	0.11498015873015872	8.0
Greek	-0.9999999999999998	0.0003968253968253968	7.0
Hebrew	-0.9642857142857141	0.002777777777777778	7.0
Hindi	-0.9	0.0020282186948853615	9.0
Hungarian	-0.9642857142857141	0.002777777777777778	7.0
Icelandic	0.5384615384615384	0.061093637494277486	13.0
Indonesian	-0.8571428571428569	0.023809523809523808	7.0
Irish	-0.9642857142857141	0.002777777777777778	7.0
Italian	-1.0	5.5114638447971785e-06	9.0
Japanese	-1.0	4.96031746031746e-05	8.0
Kazakh	-1.0	0.08333333333333333	4.0
Kiche	-1.0	0.08333333333333333	4.0
Komi_Zyrian	-0.9428571428571428	0.016666666666666666	6.0
Korean	-0.9642857142857141	0.002777777777777778	7.0
Kurmanji	-0.9999999999999998	0.016666666666666666	5.0
Latin	0.7230769230769231	0.004805018891444457	15.0
Latvian	-0.9523809523809526	0.001140873015873016	8.0
Lithuanian	-0.9428571428571428	0.016666666666666666	6.0
Maltese	-1.0	0.002777777777777778	6.0
Manx	-0.19999999999999996	0.7833333333333333	5.0
North_Sami	-0.4999999999999999	0.26666666666666666	7.0
Norwegian	-0.7454545454545454	0.01841384131432766	10.0
Old_Church_Slavonic	0.5476190476190477	0.17098214285714286	8.0
Old_East_Slavic	0.8333333333333334	0.008267195767195767	9.0
Old_French	0.07142857142857144	0.8819940476190476	8.0
Persian	-0.5833333333333334	0.10799713403880071	9.0
Polish	-0.7142857142857142	0.0880952380952381	7.0
Portuguese	-1.0	4.96031746031746e-05	8.0
Romanian	-0.9636363636363636	0.0	10.0
Russian	-0.8833333333333333	0.0030753968253968253	9.0
Sanskrit	-0.8285714285714285	0.058333333333333334	6.0
Scottish_Gaelic	-0.8571428571428569	0.023809523809523808	7.0
Serbian	-0.7857142857142855	0.04801587301587302	7.0
Slovak	-1.0	0.002777777777777778	6.0
Slovenian	-0.9833333333333333	4.96031746031746e-05	9.0
Spanish	-1.0	5.5114638447971785e-06	9.0
Swedish	-0.8571428571428573	0.010714285714285714	8.0
Tamil	-0.8999999999999998	0.08333333333333333	5.0
Thai	-1.0	0.002777777777777778	6.0
Turkish	-0.14285714285714282	0.7825396825396825	7.0
Turkish_German	-0.7166666666666667	0.03686618165784832	9.0
Ukrainian	-0.7499999999999998	0.06626984126984127	7.0
Upper_Sorbian	-0.9999999999999998	0.016666666666666666	5.0
Urdu	-0.9761904761904763	0.0003968253968253968	8.0
Uyghur	-0.9428571428571428	0.016666666666666666	6.0
Vietnamese	-0.9999999999999998	0.016666666666666666	5.0
Welsh	-1.0	0.002777777777777778	6.0
Western_Armenian	-0.6571428571428571	0.175	6.0
Wolof	-0.607142857142857	0.16666666666666666	7.0
